weight_class,title_fight,card_section,card_position,event_venue_country,red_age,blue_age,red_height,blue_height,red_reach,blue_reach,red_stance,blue_stance,red_prior_fights,blue_prior_fights,red_prior_wins,blue_prior_wins,red_prior_win_rate,blue_prior_win_rate,red_prior_finish_wins,blue_prior_finish_wins,red_prior_finish_rate,blue_prior_finish_rate,red_prior_avg_duration,blue_prior_avg_duration,red_days_since_last_fight,blue_days_since_last_fight,age_diff,height_diff,reach_diff,prior_fights_diff,prior_win_rate_diff,prior_finish_rate_diff,prior_avg_duration_diff,days_since_last_fight_diff,stance_matchup,y_red_win
BANTAMWEIGHT,0,PRELIMS,8,USA,32.134154688569474,29.065023956194388,180.34,175.26,181.61,175.26,southpaw,,,,,,,,,,,,,,,,3.0691307323750863,5.0800000000000125,6.350000000000023,,,,,,southpaw_vs_Unknown,0
MIDDLEWEIGHT,0,PRELIMS,9,USA,27.871321013004792,35.62765229295003,187.96,185.42,190.5,198.12,orthodox,southpaw,,,,,,,,,,,,,,,-7.75633127994524,2.5400000000000205,-7.6200000000000045,,,,,,orthodox_vs_southpaw,1
WELTERWEIGHT,0,EARLY_PRELIMS,10,USA,32.865160848733744,35.78370978781656,180.34,185.42,184.15,187.96,southpaw,orthodox,,,,,,,,,,,,,,,-2.918548939082818,-5.079999999999984,-3.8100000000000023,,,,,,southpaw_vs_orthodox,1
W_BANTAMWEIGHT,0,EARLY_PRELIMS,11,USA,34.19028062970568,35.89596167008898,180.34,167.64,182.88,172.72,orthodox,orthodox,,,,,,,,,,,,,,,-1.705681040383297,12.700000000000017,10.159999999999997,,,,,,orthodox_vs_orthodox,0
BANTAMWEIGHT,0,EARLY_PRELIMS,12,USA,34.45311430527036,28.17248459958932,175.26,172.72,170.18,180.34,orthodox,orthodox,,,,,,,,,,,,,,,6.28062970568104,2.539999999999992,-10.159999999999997,,,,,,orthodox_vs_orthodox,0
WELTERWEIGHT,0,EARLY_PRELIMS,13,USA,32.878850102669404,35.540041067761805,177.8,180.34,182.88,187.96,orthodox,orthodox,,,,,,,,,,,,,,,-2.661190965092402,-2.539999999999992,-5.0800000000000125,,,,,,orthodox_vs_orthodox,1
W_FLYWEIGHT,0,EARLY_PRELIMS,14,USA,29.930184804928132,37.17180013689254,162.56,162.56,162.56,170.18,southpaw,switch,,,,,,,,,,,,,,,-7.241615331964411,0.0,-7.6200000000000045,,,,,,southpaw_vs_switch,1
FEATHERWEIGHT,0,MAIN_CARD,4,USA,23.173169062286107,31.197809719370294,175.26,177.8,,,,,,,,,,,,,,,,,,,-8.024640657084188,-2.5400000000000205,,,,,,,Unknown_vs_Unknown,1
FLYWEIGHT,0,MAIN_CARD,5,USA,27.260780287474333,23.24435318275154,170.18,170.18,,,,,,,,,,,,,,,,,,,4.016427104722794,0.0,,,,,,,Unknown_vs_Unknown,1
MIDDLEWEIGHT,0,MAIN_CARD,1,USA,25.02943189596167,23.55373032169747,187.96,185.42,,,,,,,,,,,,,,,,,,,1.4757015742642032,2.5400000000000205,,,,,,,Unknown_vs_Unknown,0
BANTAMWEIGHT,0,MAIN_CARD,2,USA,28.550308008213552,28.83230663928816,175.26,167.64,,,,,,,,,,,,,,,,,,,-0.28199863107460743,7.6200000000000045,,,,,,,Unknown_vs_Unknown,1
WELTERWEIGHT,0,MAIN_CARD,3,USA,,28.758384668035593,180.34,185.42,,,,,,,,,,,,,,,,,,,,-5.079999999999984,,,,,,,Unknown_vs_Unknown,0
MIDDLEWEIGHT,0,PRELIMS,7,Australia,30.688569472963724,34.2943189596167,190.5,182.88,198.12,185.42,orthodox,switch,2.0,12.0,1.0,8.0,0.5,0.6666666666666666,1.0,3.0,1.0,0.375,8.985,11.089166666666666,38.0,105.0,-3.6057494866529787,7.6200000000000045,12.700000000000017,-10.0,-0.16666666666666663,0.625,-2.104166666666666,-67.0,orthodox_vs_switch,1
W_STRAWWEIGHT,0,PRELIMS,12,Australia,29.691991786447637,29.853524982888434,154.94,162.56,154.94,170.18,orthodox,orthodox,9.0,2.0,7.0,2.0,0.7777777777777778,1.0,1.0,1.0,0.14285714285714285,0.5,13.969999999999999,9.765,175.0,189.0,-0.16153319644079644,-7.6200000000000045,-15.240000000000009,7.0,-0.2222222222222222,-0.35714285714285715,4.204999999999998,-14.0,orthodox_vs_orthodox,0
HEAVYWEIGHT,0,PRELIMS,11,Australia,31.15126625598905,28.56399726214921,195.58,182.88,200.66,198.12,orthodox,orthodox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,2.5872689938398388,12.700000000000017,2.539999999999992,0.0,0.0,0.0,,,orthodox_vs_orthodox,1
W_BANTAMWEIGHT,0,PRELIMS,10,Australia,31.838466803559207,32.29568788501027,175.26,167.64,175.26,175.26,southpaw,orthodox,0.0,10.0,0.0,7.0,0.0,0.7,0.0,1.0,0.0,0.14285714285714285,,13.321000000000002,,434.0,-0.4572210814510598,7.6200000000000045,0.0,-10.0,-0.7,-0.14285714285714285,,,southpaw_vs_orthodox,1
BANTAMWEIGHT,0,PRELIMS,9,Australia,26.26420260095825,26.965092402464066,170.18,172.72,175.26,187.96,orthodox,southpaw,1.0,2.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0,0.0,15.0,9.134999999999998,231.0,196.0,-0.7008898015058165,-2.539999999999992,-12.700000000000017,-1.0,-0.5,0.0,5.865000000000002,35.0,orthodox_vs_southpaw,1
LIGHTWEIGHT,0,PRELIMS,8,Australia,31.1129363449692,28.70362765229295,182.88,180.34,187.96,187.96,orthodox,orthodox,11.0,3.0,5.0,0.0,0.45454545454545453,0.0,2.0,0.0,0.4,0.0,9.436363636363636,15.0,511.0,420.0,2.409308692676248,2.539999999999992,0.0,8.0,0.45454545454545453,0.4,-5.563636363636364,91.0,orthodox_vs_orthodox,1
