model,accuracy,precision,recall,f1,roc_auc
mlp,0.606582472254114,0.643719806763285,0.7087765957446809,0.6746835443037975,0.6254964219250618
xgboost,0.6054343666283964,0.6690493209435311,0.6223404255319149,0.6448501550120564,0.6509818122517891
random_forest,0.5977803291236127,0.6600706713780918,0.6210106382978723,0.6399451867077767,0.6469333955259675
logistic_regression,0.5885954841178722,0.6583025830258302,0.5930851063829787,0.6239944036376356,0.6385832549929973
decision_tree,0.5794106391121316,0.6578332034294622,0.5611702127659575,0.6056691783279512,0.6090569422327955
