hidden_units,dropout,learning_rate,best_val_auc,test_f1
64,0.2,0.0005,0.6188819408416748,0.7139601139601139
64,0.0,0.0005,0.6198691725730896,0.6946811636791067
128,0.0,0.0005,0.6208314895629883,0.6940639269406392
128,0.2,0.0005,0.6230093836784363,0.6932849364791288
64,0.2,0.001,0.6248934268951416,0.6883635247159963
64,0.0,0.001,0.6208021640777588,0.6838748861220771
128,0.0,0.001,0.6186090111732483,0.6791277258566978
128,0.2,0.001,0.6225818395614624,0.6746835443037975
